Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","SW_SPDT_PCM12",167.270000,-128.495000,-90.000000,top
"BZ1","Buzzer","MagneticBuzzer_PUI_AT-0927-TT-6-R",201.520000,-159.745000,180.000000,top
"Battery Holder","Battery_Cell","BatteryHolder_Keystone_1042_1x18650",151.770000,-137.745000,-90.000000,top
"C1","0.1u","C_0402_1005Metric",181.990000,-123.675000,90.000000,top
"C2","0.1u","C_0402_1005Metric",191.270000,-127.495000,180.000000,top
"C3","0.1u","C_0402_1005Metric",185.740000,-112.675000,0.000000,top
"C4","0.1u","C_0402_1005Metric",196.770000,-116.495000,-90.000000,top
"C5","0.1u","C_0402_1005Metric",196.740000,-123.425000,-90.000000,top
"C6","0.1u","C_0402_1005Metric",185.740000,-127.425000,0.000000,top
"C7","10u","C_0603_1608Metric",182.520000,-111.495000,-90.000000,top
"C8","0.1u","C_0402_1005Metric",187.990000,-127.425000,180.000000,top
"C9","1u","C_0402_1005Metric",171.895000,-96.195000,0.000000,top
"C10","10u","C_0603_1608Metric",172.720000,-107.350000,0.000000,top
"C11","0.1u","C_0402_1005Metric",166.145000,-110.895000,-90.000000,top
"C12","10u","C_0603_1608Metric",166.920000,-115.395000,180.000000,top
"C13","10u","C_0603_1608Metric",166.920000,-113.570000,180.000000,top
"D1","GREEN","LED_D5.0mm_FlatTop",184.270000,-161.260000,90.000000,top
"D2","RED","LED_D5.0mm_FlatTop",191.020000,-161.260000,90.000000,top
"D3","CHARGE","LED_D5.0mm_FlatTop",178.595000,-102.635000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",189.775000,-97.000000,180.000000,top
"L1","2.2u","L_TDK_MLZ2012_h0.85mm",173.220000,-110.600000,90.000000,top
"Q1","BS170","TO-92",211.952500,-116.780000,90.000000,top
"Q2","BS170","TO-92",210.880000,-109.265000,90.000000,top
"Q3","BS170","TO-92",208.292500,-103.265000,90.000000,top
"R1","100","R_1206_3216Metric",206.520000,-114.745000,180.000000,top
"R2","100","R_1206_3216Metric",205.270000,-107.245000,180.000000,top
"R3","100","R_1206_3216Metric",203.020000,-101.745000,180.000000,top
"R4","100k","R_1206_3216Metric",205.270000,-118.495000,90.000000,top
"R5","100k","R_1206_3216Metric",204.020000,-110.995000,90.000000,top
"R6","100k","R_1206_3216Metric",201.520000,-105.745000,90.000000,top
"R7","R","R_1206_3216Metric",203.270000,-151.995000,180.000000,top
"R8","R","R_1206_3216Metric",224.520000,-114.995000,90.000000,top
"R9","R","R_1206_3216Metric",217.020000,-114.995000,90.000000,top
"R10","R","R_1206_3216Metric",221.020000,-114.995000,90.000000,top
"R11","R","R_1206_3216Metric",203.182500,-149.495000,180.000000,top
"R12","R","R_1206_3216Metric",203.182500,-146.995000,180.000000,top
"R13","R","R_1206_3216Metric",203.182500,-144.495000,180.000000,top
"R14","R","R_1206_3216Metric",203.270000,-141.995000,180.000000,top
"R15","220","R_0805_2012Metric",187.475000,-134.540000,-90.000000,top
"R16","220","R_0805_2012Metric",192.695000,-134.445000,-90.000000,top
"R17","10k","R_0805_2012Metric",174.770000,-123.745000,180.000000,top
"R18","1k65","R_0805_2012Metric",172.595000,-102.370000,0.000000,top
"R19","1k","R_0805_2012Metric",169.795000,-95.720000,90.000000,top
"R20","100k","R_0805_2012Metric",169.145000,-107.370000,180.000000,top
"SW1","START","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",165.520000,-147.995000,-90.000000,top
"SW2","STOP","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",170.020000,-147.995000,-90.000000,top
"SW3","+10","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",174.770000,-147.995000,-90.000000,top
"SW4","-10","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",179.520000,-147.995000,-90.000000,top
"U1","3-digit 7-segment display","LED_BA56-12SRWA",215.520000,-142.495000,-90.000000,top
"U2","STM32F446RE","LQFP-64_10x10mm_P0.5mm",189.270000,-119.995000,90.000000,top
"U3","TPS63000","Texas_DRC0010J_ThermalVias",169.370000,-110.850000,180.000000,top
"U4","LTC4054ES5-4.2","TSOT-23-5",172.095000,-99.120000,180.000000,top
